batch,time_point,replicate,DSB,repeat,allele,combo,Counts,Uncuttable_Combo_Counts,Fold_of_Uncuttable,Percent_of_Uncuttable
6,180,1,DSB1,INTACT,CHRXV_L01,A_to_B,22259,22097,1.0073313119427976,100.73313119427976
6,180,1,DSB1,INTACT,CHRXV_L04,A_to_B,25,22097,0.0011313752998144545,0.11313752998144544
6,180,1,DSB1,INTACT,CHRXV_L15,A_to_B,6156,22097,0.27858985382631124,27.858985382631126
6,180,1,DSB1,INTACT,CHRXV_L17_2,A_to_B,24203,22097,1.0953070552563697,109.53070552563696
6,180,1,DSB1,INTACT,CHRXV_L18_1PERCENT_CONTROL,A_to_B,3927,22097,0.1777164320948545,17.77164320948545
6,180,1,DSB1,INTACT,COMMON,A_to_B,54,22097,0.0024437706475992217,0.24437706475992216
6,180,1,DSB1,INTACT,NO_CUT,A_to_B,22097,22097,1,100
6,180,1,DSB1,SSA,CHRIII_L02,A_to_B,16081,91176,0.17637316837764325,17.637316837764324
6,180,1,DSB1,SSA,CHRIII_L03,A_to_B,38422,91176,0.42140475563744845,42.14047556374484
6,180,1,DSB1,SSA,CHRIII_L04,A_to_B,162267,91176,1.7797117662542774,177.97117662542774
6,180,1,DSB1,SSA,CHRIV_L01,A_to_B,40327,91176,0.4422984118627709,44.22984118627709
6,180,1,DSB1,SSA,CHRIV_L03,A_to_B,10209,91176,0.11197025533035009,11.19702553303501
6,180,1,DSB1,SSA,CHRIV_L06_2,A_to_B,48033,91176,0.5268162674387997,52.68162674387997
6,180,1,DSB1,SSA,CHRIV_L10_2,A_to_B,37406,91176,0.4102614723172765,41.02614723172765
6,180,1,DSB1,SSA,CHRIV_L12_2,A_to_B,54081,91176,0.5931495130297447,59.314951302974464
6,180,1,DSB1,SSA,CHRIV_L13,A_to_B,28193,91176,0.3092151443362288,30.921514433622882
6,180,1,DSB1,SSA,CHRIV_L15_2,A_to_B,57327,91176,0.6287509871018689,62.87509871018689
6,180,1,DSB1,SSA,CHRVII_990K,A_to_B,58542,91176,0.6420768623321926,64.20768623321926
6,180,1,DSB1,SSA,CHRVII_L03,A_to_B,23343,91176,0.25602132140036854,25.60213214003685
6,180,1,DSB1,SSA,CHRVII_L06,A_to_B,36659,91176,0.40206852680529964,40.20685268052996
6,180,1,DSB1,SSA,CHRVII_L09,A_to_B,17125,91176,0.18782355005703255,18.782355005703256
6,180,1,DSB1,SSA,CHRXII_L01,A_to_B,33842,91176,0.37117223830832674,37.11722383083268
6,180,1,DSB1,SSA,CHRXII_L05,A_to_B,104898,91176,1.1505001316135826,115.05001316135825
6,180,1,DSB1,SSA,CHRXII_L07,A_to_B,35130,91176,0.3852987628323243,38.52987628323243
6,180,1,DSB1,SSA,CHRXII_L12,A_to_B,17410,91176,0.19094937264192333,19.094937264192332
6,180,1,DSB1,SSA,CHRXV_L01,A_to_B,57509,91176,0.6307471264367817,63.07471264367816
6,180,1,DSB1,SSA,CHRXV_L04,A_to_B,31,91176,3.4000175484776696e-4,0.0340001754847767
6,180,1,DSB1,SSA,CHRXV_L15,A_to_B,13568,91176,0.14881109063788717,14.881109063788717
6,180,1,DSB1,SSA,CHRXV_L17_2,A_to_B,52188,91176,0.5723874703869439,57.23874703869439
6,180,1,DSB1,SSA,CHRXV_L18_1PERCENT_CONTROL,A_to_B,11342,91176,0.1243967710801088,12.43967710801088
6,180,1,DSB1,SSA,COMMON,A_to_B,100,91176,0.0010967798543476354,0.10967798543476354
6,180,1,DSB1,SSA,NO_CUT,A_to_B,91176,91176,1,100
6,180,1,DSB2,INTACT,CHRIII_L02,C_to_D,52,11308,0.004598514326140785,0.4598514326140785
6,180,1,DSB2,INTACT,CHRIII_L03,C_to_D,14,11308,0.001238061549345596,0.1238061549345596
6,180,1,DSB2,INTACT,CHRIII_L04,C_to_D,66,11308,0.005836575875486381,0.5836575875486382
6,180,1,DSB2,INTACT,CHRIV_L01,C_to_D,16,11308,0.0014149274849663955,0.14149274849663954
6,180,1,DSB2,INTACT,CHRIV_L03,C_to_D,77,11308,0.006809338521400778,0.6809338521400778
6,180,1,DSB2,INTACT,CHRIV_L06_2,C_to_D,7,11308,6.19030774672798e-4,0.0619030774672798
6,180,1,DSB2,INTACT,CHRIV_L10_2,C_to_D,26,11308,0.0022992571630703926,0.22992571630703926
6,180,1,DSB2,INTACT,CHRIV_L12_2,C_to_D,21,11308,0.001857092324018394,0.1857092324018394
6,180,1,DSB2,INTACT,CHRIV_L13,C_to_D,17,11308,0.0015033604527767952,0.15033604527767952
6,180,1,DSB2,INTACT,CHRIV_L15_2,C_to_D,56,11308,0.004952246197382384,0.4952246197382384
6,180,1,DSB2,INTACT,CHRVII_990K,C_to_D,13,11308,0.0011496285815351963,0.11496285815351963
6,180,1,DSB2,INTACT,CHRVII_L03,C_to_D,143,11308,0.01264591439688716,1.264591439688716
6,180,1,DSB2,INTACT,CHRVII_L06,C_to_D,5,11308,4.421648390519986e-4,0.04421648390519986
6,180,1,DSB2,INTACT,CHRVII_L09,C_to_D,33,11308,0.0029182879377431907,0.2918287937743191
6,180,1,DSB2,INTACT,CHRXII_L01,C_to_D,195,11308,0.017244428723027946,1.7244428723027945
6,180,1,DSB2,INTACT,CHRXII_L05,C_to_D,8,11308,7.074637424831977e-4,0.07074637424831977
6,180,1,DSB2,INTACT,CHRXII_L07,C_to_D,22,11308,0.0019455252918287938,0.19455252918287938
6,180,1,DSB2,INTACT,CHRXII_L12,C_to_D,27,11308,0.0023876901308807924,0.23876901308807924
6,180,1,DSB2,INTACT,CHRXV_L01,C_to_D,10,11308,8.843296781039972e-4,0.08843296781039972
6,180,1,DSB2,INTACT,CHRXV_L04,C_to_D,16,11308,0.0014149274849663955,0.14149274849663954
6,180,1,DSB2,INTACT,CHRXV_L15,C_to_D,20,11308,0.0017686593562079944,0.17686593562079944
6,180,1,DSB2,INTACT,CHRXV_L17_2,C_to_D,5,11308,4.421648390519986e-4,0.04421648390519986
6,180,1,DSB2,INTACT,CHRXV_L18_1PERCENT_CONTROL,C_to_D,8,11308,7.074637424831977e-4,0.07074637424831977
6,180,1,DSB2,INTACT,COMMON,C_to_D,563623,11308,49.84285461620092,4984.285461620092
6,180,1,DSB2,INTACT,NO_CUT,C_to_D,11308,11308,1,100
6,180,1,DSB2,SSA,CHRIII_L02,C_to_D,137,64040,0.0021392879450343534,0.21392879450343535
6,180,1,DSB2,SSA,CHRIII_L03,C_to_D,34,64040,5.309181761399126e-4,0.05309181761399125
6,180,1,DSB2,SSA,CHRIII_L04,C_to_D,176,64040,0.0027482823235477826,0.27482823235477827
6,180,1,DSB2,SSA,CHRIV_L01,C_to_D,62,64040,9.681449094316052e-4,0.09681449094316052
6,180,1,DSB2,SSA,CHRIV_L03,C_to_D,211,64040,0.0032948157401623984,0.32948157401623984
6,180,1,DSB2,SSA,CHRIV_L06_2,C_to_D,14,64040,2.1861336664584635e-4,0.021861336664584636
6,180,1,DSB2,SSA,CHRIV_L10_2,C_to_D,65,64040,0.0010149906308557152,0.10149906308557152
6,180,1,DSB2,SSA,CHRIV_L12_2,C_to_D,85,64040,0.0013272954403497814,0.13272954403497814
6,180,1,DSB2,SSA,CHRIV_L13,C_to_D,53,64040,8.276077451592755e-4,0.08276077451592755
6,180,1,DSB2,SSA,CHRIV_L15_2,C_to_D,128,64040,0.0019987507807620237,0.19987507807620236
6,180,1,DSB2,SSA,CHRVII_990K,C_to_D,20,64040,3.123048094940662e-4,0.03123048094940662
6,180,1,DSB2,SSA,CHRVII_L03,C_to_D,417,64040,0.0065115552779512805,0.6511555277951281
6,180,1,DSB2,SSA,CHRVII_L06,C_to_D,10,64040,1.561524047470331e-4,0.01561524047470331
6,180,1,DSB2,SSA,CHRVII_L09,C_to_D,106,64040,0.001655215490318551,0.1655215490318551
6,180,1,DSB2,SSA,CHRXII_L01,C_to_D,521,64040,0.008135540287320425,0.8135540287320425
6,180,1,DSB2,SSA,CHRXII_L05,C_to_D,23,64040,3.5915053091817615e-4,0.03591505309181761
6,180,1,DSB2,SSA,CHRXII_L07,C_to_D,63,64040,9.837601499063085e-4,0.09837601499063085
6,180,1,DSB2,SSA,CHRXII_L12,C_to_D,58,64040,9.05683947532792e-4,0.0905683947532792
6,180,1,DSB2,SSA,CHRXV_L01,C_to_D,24,64040,3.7476577139287947e-4,0.037476577139287946
6,180,1,DSB2,SSA,CHRXV_L04,C_to_D,51,64040,7.963772642098688e-4,0.07963772642098688
6,180,1,DSB2,SSA,CHRXV_L15,C_to_D,107,64040,0.0016708307307932541,0.16708307307932543
6,180,1,DSB2,SSA,CHRXV_L17_2,C_to_D,14,64040,2.1861336664584635e-4,0.021861336664584636
6,180,1,DSB2,SSA,CHRXV_L18_1PERCENT_CONTROL,C_to_D,18,64040,2.810743285446596e-4,0.028107432854465958
6,180,1,DSB2,SSA,COMMON,C_to_D,1117160,64040,17.44472204871955,1744.472204871955
6,180,1,DSB2,SSA,NO_CUT,C_to_D,64040,64040,1,100
6,180,1,TRANS,INTACT,CHRIII_L02,A_to_D,544,285,1.9087719298245613,190.87719298245614
6,180,1,TRANS,INTACT,CHRIII_L02,C_to_B,2,81,0.024691358024691357,2.4691358024691357
6,180,1,TRANS,INTACT,CHRIII_L03,A_to_D,1829,285,6.417543859649123,641.7543859649123
6,180,1,TRANS,INTACT,CHRIII_L04,A_to_D,3452,285,12.112280701754386,1211.2280701754387
6,180,1,TRANS,INTACT,CHRIV_L01,A_to_D,816,285,2.863157894736842,286.3157894736842
6,180,1,TRANS,INTACT,CHRIV_L03,A_to_D,795,285,2.789473684210526,278.94736842105266
6,180,1,TRANS,INTACT,CHRIV_L06_2,A_to_D,1170,285,4.105263157894737,410.5263157894737
